,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad,std_dev_to_perm_res_ratio,vertical_correlation,lateral_correlation,random_seed
134,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,826.0828806403975,1,4,308,9168
135,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,1350.0070107550434,1,7,80,9329
136,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,1039.0551367620653,1,8,77,170
137,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,794.669609473511,1,5,140,3150
138,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,927.0771216668321,1,3,95,10172
139,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,8,200,6754
140,1020,1,25,100,1500,100,500,2.744,2994.376040693835,1400.863755015599,1,5,36,4955
141,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,679.2894631401067,1,8,261,4361
142,1020,1,25,100,1500,100,500,2.744,3975.886821734759,1253.396415380532,1,8,96,3314
143,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,9,235,12254
144,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,10,161,4078
145,1020,1,25,100,1500,100,500,2.744,3975.886821734759,602.6003828720548,1,6,272,10987
146,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,706.6630446235681,1,7,188,8701
147,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,9,280,1139
148,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,1079.0248340103788,1,4,105,61
149,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,927.0771216668321,1,4,88,826
150,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,2,92,11525
151,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,7,126,2042
152,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,1163.2114820866102,1,7,120,3062
153,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,8,99,12178
154,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,5,90,5799
155,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,2,245,12012
156,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,7,190,913
157,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,679.2894631401067,1,2,150,3740
158,1020,1,25,100,1500,100,500,2.744,3451.407913135139,1683.136468145602,1,8,192,10502
159,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,578.7469943073653,1,5,370,9605
160,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,706.6630446235681,1,2,112,6759
161,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,8,96,6880
162,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,602.6003828720548,1,7,104,2371
163,1020,1,25,100,1500,100,500,2.744,4118.680869937337,1350.0070107550434,1,5,297,9718
164,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,706.6630446235681,1,2,260,8026
165,1020,1,25,100,1500,100,500,2.744,3975.886821734759,602.6003828720548,1,3,256,4458
166,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,6,296,9430
167,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,1163.2114820866102,1,5,88,1678
168,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,794.669609473511,1,4,440,10411
169,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,734.9950299419285,1,5,368,12202
170,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,706.6630446235681,1,7,260,6279
171,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,8,171,6820
172,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,8,60,310
173,1020,1,25,100,1500,100,500,2.744,3451.407913135139,1039.0551367620653,1,5,336,5528
174,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,764.3189747302553,1,10,208,11919
175,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,2,144,8348
176,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,1039.0551367620653,1,7,238,12023
